"user","ideology"
"_roseblvnts__",NA
"_Rosemaryyyyy",NA
"_SACK_OF_RICE",NA
"_salJones","1.22652812003661"
"_sarahnc",NA
"_SaskiaJennings","-2.32634787404084"
"_seanbennett4",NA
"_SeanLanphier",NA
"_seoulnams",NA
"_Seriinnaaaa_",NA
"_Sh0w0ut",NA
"_shesadancer",NA
"_Shevern",NA
"_slamera",NA
"_snurarifah",NA
"_speakingofskye",NA
"_startofamoment",NA
"_stefanniiee_",NA
"_Stephany0727",NA
"_steve_mack",NA
"_swiftdee",NA
"_taylormade74",NA
"_teqKILLA","-1.75068607125217"
"_thatniggaruben",NA
"_thats_tori",NA
"_TheRealWolfie","1.22652812003661"
"_TL7","0.524400512708041"
"_tybek_","-1.88079360815125"
"_ughlani",NA
"_veelynn",NA
"_WorldTour",NA
"_xbai",NA
"_YaBoiQuez",NA
"_yamigutierrez_",NA
"_yasinaah",NA
"_yourlittlelady",NA
"_yungjc",NA
"_yungnoon",NA
"03Rella",NA
"0814Sabris",NA
"09Jaysoncraft","1.55477359459685"
"0hShesAlex",NA
"0verbiter_","-0.467698799114508"
"1061thebull","-0.176374164780861"
"10DannyVilla",NA
"10xProductions",NA
"11RL11",NA
"12MobJoey",NA
"13_AROD",NA
"1350AM_WIOU",NA
"13s1i3",NA
"13vlm13","1.40507156030963"
"16WellsLLC",NA
"187Cozy",NA
"1975linds",NA
"1980sNz",NA
"1Angelalanni","0.915365087842814"
"1arianawebb",NA
"1artist__","1.64485362695147"
"1BaddMommy",NA
"1BudBeatz",NA
"1COACH_CARTER",NA
"1Devion_",NA
"1finney","-2.05374891063182"
"1footintheband",NA
"1froglegs","2.05374891063182"
"1GodShad",NA
"1innaBillion","1.34075503369022"
"1llreality",NA
"1mallymal_",NA
"1ndustrialDsgn",NA
"1PHARES",NA
"1st_of_AllBitch",NA
"1tuch82",NA
"1UpOnCancer",NA
"1voodooking","0.954165253146195"
"1ysdrew",NA
"2011kennay",NA
"2012Meghaa",NA
"206Hoops",NA
"209_boii",NA
"21Culvey",NA
"21MilesNorth","-2.05374891063182"
"21SL5",NA
"21Strunk","1.22652812003661"
"21thomasrealty",NA
"22deesssiiii",NA
"23elite_",NA
"23Jflores",NA
"240worthofpuddn",NA
"247musicprod","0.279319034447454"
"25LightFighter","1.47579102817917"
"26Quiroa",NA
"270Jt",NA
"2amsins",NA
"2b42morrow",NA
"2chicksandapen",NA
"2cnd2none78",NA
"2cold2hold4ever",NA
"2fR3sH2sTrEsS",NA
"2kVEX",NA
"2manykraemers","0.674489750196082"
"2ndMinute",NA
"2officialTy",NA
"305CANE_LOS21",NA
"30BallBrice",NA
"34Acd",NA
"35sophmm",NA
"3bi_z",NA
"3grb_1","0.150969215496777"
"3meerAbdel",NA
"3ricmaly",NA
"3ucketsJr",NA
"4_nava",NA
"4_nonim0",NA
"419SoulPunx",NA
"420fitgirl","-2.05374891063182"
"45JONNYBOY","1.22652812003661"
"480Bar",NA
"49robinRd","1.75068607125217"
"4kidsopfan","-2.05374891063182"
"4MelloWilson3",NA
"4smokescreens","1.47579102817917"
"4thQtrTraining","-1.1263911290388"
"4yescom","0.954165253146195"
"55michaelsharpe","1.75068607125217"
"5EspBrCcsglv9pt",NA
"5Flooring",NA
"608RedMosquito",NA
"617Kyle","-1.75068607125217"
"69tree",NA
"6lanoue","1.22652812003661"
"6milgamer","-1.40507156030963"
"718inspired","-0.201893479141851"
"75doyle",NA
"768lahermosa","0.643345405392917"
"7beastHumble2",NA
"7gummy7","1.2815515655446"
"7Wjfe",NA
"801_243",NA
"80sBaby_Rick",NA
"816ix_","1.64485362695147"
"85Sheffield","1.40507156030963"
"8ballhunt",NA
"8uup1","1.64485362695147"
"901Pimpjuice",NA
"90sMettle",NA
"96mfsh",NA
"A_capsulbox",NA
"a_fematt","1.08031934081496"
"a_jaydont7",NA
"a_loiriinhaa",NA
"a_salas17",NA
"a_slimmm",NA
"a_thomp","1.22652812003661"
"a_tom_bomb1",NA
"a_twiddy","1.40507156030963"
"A1wayz_b1essed","0.772193214188685"
"A7Spencer","0.841621233572914"
"aaacisej",NA
"aaajjaahh",NA
"aaannet_",NA
"aaarellli",NA
"AAhms759",NA
"aaldairaa",NA
"aalejandraav",NA
"aalexchavez17","-2.32634787404084"
"aalexisskyler",NA
"aaliyahhreyess",NA
"aaliyahhvilla",NA
"aaliyahskie",NA
"aalleeyy54",NA
"aamanlamba","-1.75068607125217"
"aambalam_",NA
"aanniecee","0.706302562840088"
"aaron69n",NA
"aaronnconley",NA
"AarontheBaaron","-2.32634787404084"
"AaronWaxing",NA
"AaronWojo",NA
"AARoselliMMA98","1.47579102817917"
"Aatif_Rashid","-1.34075503369022"
"aballin_","1.47579102817917"
"abbeyxroadx","1.22652812003661"
"abbi_mccrary",NA
"abbieetayylor",NA
"AbbieJerry","1.22652812003661"
"abbieluwho","1.22652812003661"
"abbyadora",NA
"abbyashcraft12",NA
"AbbyMellott",NA
"abbymuniiz",NA
"abbytipton2",NA
"ABCyaGames",NA
"Abdoulaye_Bah_",NA
"Abelcon45722389",NA
"abelochoa02",NA
"abey_c",NA
"abigailts13","-2.32634787404084"
"ABN_Victor17",NA
"abouomar63",NA
"Abraamkadabra",NA
"Abraham67912568",NA
"abrazomack","1.17498679206609"
"abrialatrice",NA
"AbrilMontagne","1.22652812003661"
"abrough93","-0.553384719555673"
"absintheweekes","1.40507156030963"
"abuelitaisme","0.738846849185214"
"acalfee23",NA
"acDIVYAAA",NA
"ace3dro0sHB",NA
"Aceresleicka",NA
"aceveesighs",NA
"achrnews",NA
"Acidsbomb","-2.05374891063182"
"AckersonKerrie",NA
"acolguin","-1.75068607125217"
"ACoolThought","0.954165253146195"
"actfortransit","-0.954165253146194"
"action_bri",NA
"ad2579","-2.32634787404084"
"AdaKeat4",NA
"Adam_Northam",NA
"Adam3632","1.2815515655446"
"Adam5isAlive","-2.05374891063182"
"adamcarrico","0.612812991016627"
"adamglantz","0.706302562840088"
"adamm417",NA
"AdamMierz",NA
"adamzyglis","0.954165253146195"
"Adanger15",NA
"AdanMorrone",NA
"adaora_a",NA
"adavidson26","1.03643338949379"
"ADCookDesign",NA
"addictedtomuahh",NA
"addieki","-1.75068607125217"
"AddieLeeWhelan",NA
"addyo819",NA
"adelina_73",NA
"AdemRegan","-2.32634787404084"
"aDesertandMan","0.582841507271216"
"AdharaToledo",NA
"aDharm_",NA
"adhawk4002",NA
"adi","-0.80642124701824"
"adjunctHuman","-2.05374891063182"
"AdolfoLeyvaJr1","0.994457883209753"
"adorable115","0.643345405392917"
"adownard3",NA
"Adrainia_mingo",NA
"adrian_clo",NA
"Adrian_Loyolaa",NA
"AdriannaOneal18","-1.88079360815125"
"adrianprk",NA
"AdrianRRod",NA
"adriartey",NA
"AdrienneE90210","1.75068607125217"
"adrikellyy","-2.05374891063182"
"adrirena","-2.05374891063182"
"adroflaco","0.643345405392917"
"Adryan_Brown","-2.32634787404084"
"advntrsofstoner",NA
"adxolaa",NA
"Adxxs_",NA
"AEC_LLC",NA
"AEEInc",NA
"aeferrell",NA
"aerialleeeee_",NA
"Aeriel_Wilkins",NA
"Aeroletian",NA
"AES504","1.47579102817917"
"AestheticBunBun",NA
"AestheticGio",NA
"AffiliNetUS",NA
"afia_cameal",NA
"afo6259",NA
"Afrodaddyjazz",NA
"AfzalUpal","1.22652812003661"
"ag_mrdoublea",NA
"AGadoush",NA
"agaynier55","1.22652812003661"
"AggieBoomer","1.34075503369022"
"agilis","0.279319034447454"
"agkmay",NA
"agmichelz717",NA
"agrabau","0.643345405392917"
"agracefulgrin","-1.47579102817917"
"agrebi","0.305480788099397"
"AguGatti13",NA
"AGumanday",NA
"AgusAvila22",NA
"ahhvieee",NA
"ahlempert",NA
"ahmedmoawad98",NA
"AhmetiWealth","1.03643338949379"
"ahonti","-0.10043372051147"
"Ahrilicious","-2.32634787404084"
"AhriyanaAmber","-0.201893479141851"
"Ahseir_",NA
"ai_yovania",NA
"AidaKajs",NA
"aidan_n_","1.22652812003661"
"Aiikaii",NA
"aimeemlowery","0.2533471031358"
"ainacrls",NA
"aintchu_shyshy",NA
"aionomuch",NA
"AirGodly",NA
"airins88","0.954165253146195"
"AirJordyn_",NA
"Airsatzblog",NA
"airshowcrazy","1.22652812003661"
"AirTom23",NA
"aishaaadianalan",NA
"aixa_adriana14","-1.88079360815125"
"AJ_Moore0969","0.706302562840088"
"ajanezzz","-2.05374891063182"
"ajaungst_11",NA
"ajayy220",NA
"AJbabe76",NA
"ajbennett23",NA
"AJChwick","1.75068607125217"
"AjGonzales3225",NA
"AJisAnnette","-2.05374891063182"
"Ajm1114","-2.05374891063182"
"AJMathieu","1.34075503369022"
"ajmccart","-2.05374891063182"
"ajozefiak","0.706302562840088"
"Ajthekid5",NA
"Aka_L_BURNA",NA
"Akamai","1.17498679206609"
"akaplan41","1.22652812003661"
"AKB2BTuneUp",NA
"akbarbara05","-2.05374891063182"
"akcberry",NA
"Akremgod","1.22652812003661"
"akudou","-1.34075503369022"
"Al_mekaimi",NA
"AlabamaSB",NA
"ALaCarteFashion","0.706302562840088"
"AlanaJ___","-1.2815515655446"
"AlanCudder",NA
"alaniraeee",NA
"Alanis73Jorge",NA
"AlanSchmalzried","1.40507156030963"
"albanyhonker45","-2.32634787404084"
"Albeertvilla",NA
"Albert17829990","1.22652812003661"
"albertcqlew","0.772193214188685"
"AlbertDowning","0.738846849185214"
"alberto2195",NA
"AlbertoJ713","1.03643338949379"
"AlberttKenny",NA
"Alc_SanDiego",NA
"Alder_Health","-0.915365087842814"
"aldreezycs",NA
"ale1810","1.40507156030963"
"aleberry420",NA
"Alee93","1.22652812003661"
"aleee153",NA
"alex_chaorta",NA
"alex_faust",NA
"alex_g_griffin",NA
"alex_jh02",NA
"Alex_Jitaru2",NA
"Alex_Jozwiak40","1.34075503369022"
"Alex_REIvegas","1.22652812003661"
"alex_talancon",NA
"Alex_Whip","1.22652812003661"
"Alex23123Alex",NA
"alex26sala1",NA
"alexaaasmithh",NA
"alexamarie8117","1.22652812003661"
"Alexand50747205",NA
"alexandraj_s21",NA
"AlexArsenault12",NA
"Alexbauman95",NA
"alexduran95","1.22652812003661"
"alexgil00",NA
"alexhazanov",NA
"Alexia_Poulos",NA
"AlexiArias116",NA
"alexiiafilipaa",NA
"Alexiis_monae","-1.88079360815125"
"alexis_mm4",NA
"alexis_paige03",NA
"alexisgabreonna",NA
"alexiskoutelas",NA
"alexislillyXO","-0.706302562840088"
"alexismoniquee",NA
"alexistres3",NA
"alexk_19",NA
"AlexKKauffman","-1.75068607125217"
"alexmfagan",NA
"AlexNoir313",NA
"AlexShew21",NA
"AlexSlickThe3RD",NA
"AlexWeikle","-1.88079360815125"
"alexxabooth","-2.05374891063182"
"AlexxDriscoll","1.22652812003661"
"ALFARHAN22","1.03643338949379"
"alfonso_salemi",NA
"Alfonso12345674",NA
"AlfonsoPatinyo",NA
"Alfredo87453379",NA
"alfredolech","1.40507156030963"
"alfredros5","1.03643338949379"
"Alice_Porkchops",NA
"aliciafstanley","-2.32634787404084"
"alicialeeeee","-2.05374891063182"
"aliekrohnphoto","-2.32634787404084"
"alin_alins",NA
"Alinefigueiredb",NA
"alirosa1012",NA
"Alisaayusra",NA
"alisafenske9",NA
"alisonailea","-2.32634787404084"
"alisonndlaurnts",NA
"alissa_m6",NA
"alitiyadinis",NA
"AliTReAliTy","-0.439913165673234"
"alivetrano",NA
"aliyahtaylorr","1.22652812003661"
"aliyyah_amani",NA
"alizehlysette",NA
"All_Must_Obey",NA
"allaboutabby","-1.75068607125217"
"Allan2434","0.954165253146195"
"AllAnyoneNeeds","0.994457883209753"
"allbritton","0.877896295051229"
"AllenDeshuan",NA
"AllensBPService","1.08031934081496"
"allergyheroes",NA
"Alley7779","0.495850347347453"
"AllHailParker",NA
"AllianzTravelUS","0.772193214188685"
"allidoe","0.954165253146195"
"allie_litman","1.22652812003661"
"alliecdiaz","-2.32634787404084"
"allieeefoxx","1.40507156030963"
"alliefromcaliii","-1.88079360815125"
"allievanhorn",NA
"alliiielizabeth","1.22652812003661"
"AllisonLorena28",NA
"allisonn3054",NA
"allohsports",NA
"allotheabove123","1.22652812003661"
"AllThings_IOT",NA
"allthingscensus",NA
"AllThingsTone","1.75068607125217"
"allycrothers",NA
"allyditch",NA
"allyg922",NA
"allyhoppaaa",NA
"allysia_miller",NA
"Allyson93194901",NA
"allyssaaa___",NA
"allyvargo__",NA
"almaraz_ariel7",NA
"AlmightyJaySosa","0.227544976641149"
"AlmightyyGuapo6",NA
"AloeVeraQueen2","1.22652812003661"
"alohikamaka",NA
"Alondra_kpop",NA
"ALotMoreAction","-0.0250689082587111"
"alowmari","0.176374164780861"
"AloxLeyva",NA
"alpaycaroleee",NA
"alphabetsoupmmm",NA
"Alrecenk","-2.05374891063182"
"AlterEgoZowie",NA
"AltFinery",NA
"Altheadvn",NA
"altninaa","-1.88079360815125"
"AluizoJennifer",NA
"AlvinKamaraGOAT",NA
"AlvizoVictoria",NA
"alvx85",NA
"alvyjxcky",NA
"alwaysaliessa",NA
"alwaysgotyoback",NA
"ALX_combs","1.22652812003661"
"alxsone",NA
"AlyciaNelssonnn","-2.32634787404084"
"alynnah_xx",NA
"alyssa_annc",NA
"alyssaareyesss",NA
"alyssada11",NA
"alyssaquintos19",NA
"Alyssas_psyche",NA
"alyssevlara",NA
"alysssssaaaaa__","-1.88079360815125"
"alyzareal",NA
"AM920WMNI","0.467698799114508"
"amalykinz","-1.47579102817917"
"amanda_breve",NA
"Amanda14318750",NA
"Amanda88546083",NA
"amandaa_torress",NA
"Amandaajoness__",NA
"AmandaaPoulsenn",NA
"AmandaCanizales","0.0250689082587111"
"amandacsb2","-2.05374891063182"
"Amandah27020269",NA
"amandaisanalien",NA
"amandakathlyn",NA
"amandakennewick",NA
"amandaknox","-1.2815515655446"
"AmandaLWilliams","-2.32634787404084"
"AmandaSambrano8",NA
"AmandaStreib",NA
"Amani_Xchange","-2.32634787404084"
"AmanKhanna","0.994457883209753"
"amarisalsyssa",NA
"amartiniv","-1.88079360815125"
"Amatsu_Kami_XXX",NA
"amazinglyhealth","1.08031934081496"
"AmazonFCCarol",NA
"AmazonFCStephen",NA
"amber_ferdig","0.439913165673234"
"Amberlink_10","1.47579102817917"
"AmberLongman5",NA
"Amberly_way",NA
"amberno_khalifa",NA
"amberrfosterr",NA
"AmbitiousGemm",NA
"AmbroseGier",NA
"amc424",NA
"amcgheej",NA
"amcneer","1.40507156030963"
"amdigitalhgo","0.994457883209753"
"amelaxoxoo","-2.32634787404084"
"amelia_symone",NA
"Amercado305",NA
"amerixanbbeaxty","-2.32634787404084"
"amhill",NA
"amiejo369","-2.32634787404084"
"AmilkerL",NA
"AmiraAlvarez",NA
"AmirahsMommie",NA
"AmirJohnson100","0.994457883209753"
"Amommyalicia","-1.55477359459685"
"Amoni1k__",NA
"Amor_keshia",NA
"AmorChariza",NA
"AmorochMorocha",NA
"amorris525","1.22652812003661"
"AmpDaChamp180th",NA
"AMPetry","-2.05374891063182"
"amrxdodsonjr","0.2533471031358"
"AmusingMyBouche",NA
"Amvriya",NA
"amxoooo","-2.05374891063182"
"AmyFHoward","-1.88079360815125"
"amyjc86","1.22652812003661"
"amykellam",NA
"amylynngao","-2.32634787404084"
"amymccallphoto","1.55477359459685"
"AmyMorenoNews","0.877896295051229"
"amynoelia",NA
"amypcastro",NA
"amysaravia",NA
"amyyz_",NA
"an_carlie","1.75068607125217"
"An_Dre1223",NA
"ana_lindahl","-2.05374891063182"
"ana_ostroski",NA
"ana_torino",NA
"AnaAnise","-2.32634787404084"
"anacarolinasaid",NA
"anadoll123",NA
"anahigot8inches",NA
"AnandaMeditates","-2.32634787404084"
"anaolvera23",NA
"AnAverageJoe96","1.22652812003661"
"AnberleeC",NA
"andash05",NA
"andberg1","-1.88079360815125"
"anderson_cera",NA
"andjanlund",NA
"Andr0us","1.22652812003661"
"AndreaArellan",NA
"andreabyerly","1.17498679206609"
"AndreaDuffyB101",NA
"andreas_padilla",NA
"andreaurbina07","0.358458793251194"
"andresbarraud","1.22652812003661"
"ANDRESELENCHUFE",NA
"AndresVarelaa",NA
"andrew__moody",NA
"andrew_3737",NA
"Andrew_Gomer",NA
"andrew_hanlin",NA
"Andrew_Zamora_4",NA
"Andrew43894605",NA
"andrewbrunhart",NA
"AndrewMAnderson",NA
"AndrewmTye","-0.331853346436817"
"AndrewOdima32","0.706302562840088"
"andrewtkeith",NA
"andriaamaral","-2.32634787404084"
"andrioeas",NA
"androider","1.1263911290388"
"AndyAppaa",NA
"andycol63781033","-2.32634787404084"
"AndyElizondo98",NA
"andyesbenshade","1.47579102817917"
"andyFlock","1.22652812003661"
"andyholloway",NA
"AndyHrovat",NA
"andyjuett","-2.32634787404084"
"andysullivan","1.2815515655446"
"andyvandergriff","-2.05374891063182"
"andyxdont",NA
"aneel","-1.1263911290388"
"AneixxJr",NA
"Anette29997462","1.75068607125217"
"anfernyyyy",NA
"angel111_",NA
"angelaa0394",NA
"angelagiammalva",NA
"angelaksimms","1.08031934081496"
"AngelaLunaKTVO",NA
"AngelaMM25","-1.88079360815125"
"AngelicGamer19","-0.706302562840088"
"AngelicsLady","-1.1263911290388"
"Angelique_1256","-1.88079360815125"
"AngelMan1993",NA
"AngeloDonatelli",NA
"AnghellEnt",NA
"AngryPigTavern",NA
"angus6571","1.03643338949379"
"aniiissssa",NA
"anikaperkins_","1.22652812003661"
"AnimeImports","-2.05374891063182"
"Animenite97",NA
"AnimeSoccer10",NA
"animolenikun","1.40507156030963"
"ANinG92247209",NA
"anisa_172",NA
"anitaaaa_16",NA
"anitanoelleg",NA
"AnjieCosmetics",NA
"Ank806","1.22652812003661"
"anna_puca04",NA
"annacooksey","-2.32634787404084"
"annageorge_5",NA
"AnnaGThigpen","1.22652812003661"
"AnnaKateHall15","1.22652812003661"
"annalaxmemo",NA
"AnnaMac80876739",NA
"anndria__",NA
"anne_gallagher","-1.17498679206609"
"anneburner","-2.32634787404084"
"annekeball","1.1263911290388"
"Annelisefaith",NA
"AnnGarrison","0.0250689082587111"
"anniegan11","-1.1263911290388"
"annietayy",NA
"annknowles03","1.47579102817917"
"annmariabell","-2.32634787404084"
"annn__s",NA
"AnnRichardsSF","-0.915365087842814"
"anny_mercury",NA
"annyssa_mallory",NA
"anohana",NA
"anondaytrader21","0.612812991016627"
"anonimo6966",NA
"anporch","1.22652812003661"
"ansley_pentz",NA
"antfor08","1.47579102817917"
"AntGood_35",NA
"anthony_ojeda83","1.22652812003661"
"AnthonyA_Yt",NA
"anthonyceraso","-2.05374891063182"
"anthonyramey5",NA
"anthonysev7","-2.32634787404084"
"anthonyxjohn",NA
"AnthropologyBe",NA
"Antonee","-1.1263911290388"
"antonia_pinon",NA
"antonioalugo","0.553384719555673"
"antoniodjtone","-Inf"
"Antonioill",NA
"antoniojavierva",NA
"AntonioYatJr","-2.32634787404084"
"antparker11",NA
"antutu__",NA
"AOetjen",NA
"AOPathletics",NA
"apackard18","0.706302562840088"
"ApalachicolaFL","-2.05374891063182"
"ApalmeroGarcia","-0.201893479141851"
"ApeSmith","0.553384719555673"
"aplindurrrr","-2.32634787404084"
"ApolloDrtyRottn",NA
"apostlefabian7",NA
"AppcDev",NA
"APrizler",NA
"apsitdominique",NA
"Aptean","1.03643338949379"
"aquagirl1111","1.03643338949379"
"AquarielleArt",NA
"aquicon_memo",NA
"AQUIREmoney",NA
"aracelimorenita",NA
"aramelijah","-1.88079360815125"
"ArcaneSwordsman","-2.32634787404084"
"Archehype","1.64485362695147"
"archigelo","0.0752698620998299"
"arcrandom",NA
"areajules",NA
"arealtomato","-2.05374891063182"
"arealwakandan",NA
"ArenWallace",NA
"aresialeaneaa",NA
"ari__rosas",NA
"ariaanitaaa",NA
"Ariel_Anne_","1.47579102817917"
"arielleni__",NA
"aries_tracey","0"
"ariesglo_",NA
"arihtxx",NA
"ariiaanaa17",NA
"arimariej04",NA
"arinasunn",NA
"Arion04967565","2.05374891063182"
"Arizuban",NA
"armanimonay",NA
"ArmChairPundt","-1.88079360815125"
"Arnschent",NA
"arreaguh",NA
"arriaga_kassie","-1.88079360815125"
"arross76","1.34075503369022"
"arsi59002480","1.22652812003661"
"ArteagaBryant",NA
"ArtemDzKolesov","-2.05374891063182"
"artiedj_21",NA
"ArtRocks247_Lu","1.64485362695147"
"ArtsDistrictLS","0.994457883209753"
"artsytanya","-2.32634787404084"
"artzeigler","1.34075503369022"
"arwmd","-0.10043372051147"
"AryMartnezMedi1",NA
"Aryz_reyes",NA
"ASagrer01","-2.05374891063182"
"asap_jenkins11",NA
"asapchizzzow",NA
"ASAPMoneyGang",NA
"asawnik",NA
"AsburyKidsTown",NA
"AscoAerospaceUS",NA
"Asgharb77595523",NA
"ash___lay",NA
"ash_gale96","-2.32634787404084"
"Ash_Nicole1215",NA
"ashabean111","1.22652812003661"
"ASHAHLEEEEEE",NA
"ashfrenchfries",NA
"ashhitakka",NA
"ashhmaria",NA
"ashley_c_little",NA
"ashley13jones",NA
"Ashley25E","-2.05374891063182"
"ashleya69098800",NA
"ashleybirdseye",NA
"AshleyFehrle",NA
"ashleyjharter","1.75068607125217"
"AshleyLanexxxx",NA
"ashleylohman","-2.05374891063182"
"AshleyPratt_Wx","0.841621233572914"
"ashleystram","1.22652812003661"
"AshleyyJane_",NA
"ashleyyy_19",NA
"ashleyyy_ramos","-1.1263911290388"
"ashlxyvx",NA
"ashlynaljoe",NA
"AshlynHermanson",NA
"ashweezyy",NA
"ashypookoontz","1.22652812003661"
"asialeexg",NA
"ASingularPlural","1.22652812003661"
"askbout_ty",NA
"asmall4299",NA
"ASMBetty","0.706302562840088"
"Aspield","-2.32634787404084"
"aspseattle37","-0.80642124701824"
"AstasiaWill","-2.32634787404084"
"astralartist","-2.32634787404084"
"ASTRO_REALTY","1.22652812003661"
"astroengine","-1.1263911290388"
"astrologistix",NA
"astunnahhh",NA
"atejanel",NA
"atfarrell","-0.439913165673234"
"AtGBrewery","-1.75068607125217"
"AthenaLSantana","-0.305480788099397"
"ATL_LOLA","0.772193214188685"
"atl_sxl",NA
"AtlRawNastyTop",NA
"ATLTweet",NA
"atlutdfantv",NA
"atmflyty",NA
"atomokid",NA
"atticuswolf2012",NA
"atuyetle",NA
"atypicalartists",NA
"atzin_m3",NA
"AU_MPAMPP",NA
"AUBRIEPARK",NA
"aubs_clark",NA
"AuburnEscape",NA
"Aud22","-2.32634787404084"
"audreyannek","-2.32634787404084"
